Country/Region/World,ISO,Sex,Year,Mean BMI,Mean BMI lower 95% uncertainty interval,Mean BMI upper 95% uncertainty interval,Prevalence of BMI>=30 kg/m² (obesity),Prevalence of BMI>=35 kg/m² (severe obesity),Prevalence of BMI<18.5 kg/m² (underweight),Prevalence of BMI >=40 kg/m²(morbid obesity)
Saint Vincent and the Grenadines,VCT,Men,2015,26.34416017,23.98865576,28.77412691,0.165397416,0.044333608,0.034736416,0.014048166
Samoa,WSM,Men,2015,30.53673108,29.79774147,31.28054536,0.405208572,0.173511226,0.001010788,0.064900552
Sao Tome and Principe,STP,Men,2015,23.93923179,22.97400403,24.89479698,0.07156199,0.016361922,0.068398421,0.007518918
Saudi Arabia,SAU,Men,2015,28.06040105,27.40459431,28.70641463,0.309471888,0.104267884,0.015693973,0.034350429
Senegal,SEN,Men,2015,21.8800931,20.95764519,22.79897734,0.039474626,0.006804184,0.123973188,0.003159459
Serbia,SRB,Men,2015,26.7182548,26.16922142,27.28087614,0.213510851,0.040984628,0.005404777,0.006005048
Seychelles,SYC,Men,2015,25.59593808,24.84857405,26.36971524,0.07579748,0.012134789,0.075863439,0.003156101
Sierra Leone,SLE,Men,2015,21.90734103,21.16435622,22.63846961,0.037707503,0.009112158,0.108179902,0.004920578
Singapore,SGP,Men,2015,24.35347984,23.67314976,25.02606415,0.058687294,0.00612773,0.037790702,0.000783889
Slovakia,SVK,Men,2015,27.45215582,26.66229602,28.26071295,0.212737633,0.034584805,0.003720845,0.005749045
Slovenia,SVN,Men,2015,26.68745865,25.01151821,28.30890926,0.196551748,0.031479027,0.005597222,0.005875576
Solomon Islands,SLB,Men,2015,25.70205635,25.01502143,26.36913361,0.179184712,0.041483378,0.009773509,0.015587399
Somalia,SOM,Men,2015,22.49655431,20.09816187,24.94961269,0.039067118,0.00530903,0.119043694,0.001376748
South Africa,ZAF,Men,2015,25.06915981,24.51032133,25.63375602,0.153608093,0.052523054,0.063754224,0.018868262
South Korea,KOR,Men,2015,24.39793499,24.13105619,24.66595306,0.043946292,0.002891271,0.028915266,0.000260054
Spain,ESP,Men,2015,27.1704132,26.58952485,27.75972366,0.249847888,0.051860322,0.003024546,0.009429055
Sri Lanka,LKA,Men,2015,22.52865584,21.84037583,23.21599284,0.027847071,0.003471719,0.151264568,0.000622587
Sudan,SDN,Men,2015,24.31231266,21.60795731,24.87603149,0.037727046,0.005010165,0.112645995,0.000960795
S. Sudan,SDN,Men,2015,23.24492053,21.60795731,24.87603149,0.037727046,0.005010165,0.112645995,0.000960795
Suriname,SUR,Men,2015,25.43768437,24.11500033,26.73812539,0.190906987,0.054706156,0.03295274,0.016704057
Swaziland,SWZ,Men,2015,24.53559782,23.74098686,25.34769348,0.053671989,0.011737922,0.095636542,0.004609827
Sweden,SWE,Men,2015,26.81740635,25.96665923,27.68783777,0.233108298,0.061366869,0.004098524,0.012784296
Switzerland,CHE,Men,2015,26.7865903,26.15127335,27.39909327,0.224543294,0.059043677,0.005974473,0.013210594
Syrian Arab Republic,SYR,Men,2015,27.4658099,26.02595855,28.87657221,0.209149379,0.052018291,0.022832975,0.013407208
Taiwan,TWN,Men,2015,25.03000934,23.99979034,26.06676694,0.069468141,0.00588377,0.031085937,0.001307401
Tajikistan,TJK,Men,2015,25.8876485,25.12174025,26.6303427,0.115566572,0.018544997,0.026794421,0.003697457
Tanzania,TZA,Men,2015,22.37008266,21.62488282,23.11345065,0.039159344,0.005491578,0.120740053,0.001101957
Thailand,THA,Men,2015,23.8869609,22.92525223,24.83514517,0.067503511,0.010702246,0.089845798,0.001521565
Timor-Leste,TLS,Men,2015,21.25271138,20.53470596,21.97883649,0.025568045,0.002623675,0.144311231,0.000580568
Togo,TGO,Men,2015,22.55156833,21.57040195,23.52329083,0.038173858,0.006366934,0.104674238,0.002500294
Tokelau,TKL,Men,2015,32.07088925,31.23424194,32.91914766,0.404405781,0.179914539,0.002402406,0.076608263
Tonga,TON,Men,2015,30.68186392,29.69979786,31.63732774,0.419030059,0.179292259,0.001687249,0.062755153
Trinidad and Tobago,TTO,Men,2015,26.68688008,24.96268364,28.33177258,0.107745199,0.022495837,0.039118128,0.006527808
Tunisia,TUN,Men,2015,25.62332822,24.51357409,26.73334417,0.192202537,0.042032598,0.028813044,0.009471969
Turkey,TUR,Men,2015,27.19483759,26.70789604,27.6668605,0.245464372,0.056973662,0.00966271,0.010989337
Turkmenistan,TKM,Men,2015,26.56331809,25.79159054,27.3703377,0.158948297,0.029473653,0.017116583,0.005682249
Tuvalu,TUV,Men,2015,30.17198741,28.01199047,32.33990953,0.475976512,0.21530455,0.001233363,0.082513483
Uganda,UGA,Men,2015,21.53710939,20.94432936,22.16040373,0.018126191,0.001940635,0.121188635,0.000669923
Ukraine,UKR,Men,2015,27.00955495,24.51396123,29.58365176,0.222278411,0.053141036,0.006756459,0.011508211
United Arab Emirates,ARE,Men,2015,28.10264628,26.60181743,29.62055538,0.277276238,0.07916981,0.014665651,0.020089567
United Kingdom,GBR,Men,2015,27.452503,27.08758206,27.79769125,0.271906579,0.076847262,0.005260861,0.019092756
United States of America,USA,Men,2015,28.97117223,28.46291604,29.46687217,0.357449409,0.145906889,0.005020332,0.0567078
Uruguay,URY,Men,2015,27.40277198,26.32835598,28.45034774,0.252237716,0.062293309,0.005824443,0.016072842
Uzbekistan,UZB,Men,2015,26.35759742,25.61391773,27.0880897,0.138186887,0.026473141,0.020717402,0.005500429
Vanuatu,VUT,Men,2015,25.67513029,24.73754905,26.61165933,0.202635573,0.049740944,0.0121914,0.016598983
Venezuela,VEN,Men,2015,26.69960008,26.04073759,27.34240481,0.227499177,0.057979741,0.009512466,0.013378249
Viet Nam,VNM,Men,2015,21.8128405,21.33990597,22.30372843,0.015241675,0.000827624,0.17312502,0.000180771
Yemen,YEM,Men,2015,23.64013971,22.65412477,24.62305912,0.118450991,0.020999372,0.051510415,0.005487792
Zambia,ZMB,Men,2015,21.39328021,19.87023711,22.87037028,0.035280221,0.004131368,0.135342523,0.000919657
Zimbabwe,ZWE,Men,2015,22.26952183,21.70156664,22.82368153,0.047396192,0.00752785,0.108553686,0.002622109
